path,model,done,total_duration,load_duration,prompt_eval_duration,eval_duration,input_tokens,output_tokens
executive-order-0.json,qwen2.5,True,257809057.0,25418921.0,10000000.0,216000000.0,358.0,24.0
executive-order-1.json,qwen2.5,True,283005817.0,28459874.0,10000000.0,237000000.0,358.0,24.0
executive-order-10.json,qwen2.5,True,222659608.0,11220776.0,5000000.0,201000000.0,358.0,24.0
executive-order-100.json,qwen2.5,True,284765712.0,26943371.0,8000000.0,236000000.0,358.0,24.0
commission-appointing-commissioners-for-surveying-the-district-territory-for-the-permanent.json,qwen2.5,True,610904526.0,33861583.0,187000000.0,376000000.0,370.0,38.0
executive-order-1000-alamo-national-forest-new-mexico.json,qwen2.5,True,378956882.0,10951287.0,8000000.0,354000000.0,375.0,41.0
executive-order-10002-exemption-lawrence-m-lawson-from-compulsory-retirement-for-age.json,,,,,,,,
executive-order-10000-regulations-governing-additional-compensation-and-credit-granted.json,qwen2.5,True,447818763.0,28047610.0,14000000.0,392000000.0,374.0,40.0
executive-order-10001-prescribing-or-amending-portions-the-selective-service-regulations.json,qwen2.5,True,456354761.0,29081656.0,9000000.0,405000000.0,374.0,40.0
executive-order-10003-providing-for-the-investigation-and-report-displaced-persons-seeking.json,qwen2.5,True,355644983.0,10977978.0,7000000.0,331000000.0,373.0,39.0
executive-order-10004-prescribing-procedures-for-the-administration-the-reciprocal-trade.json,qwen2.5,True,430704428.0,28713295.0,8000000.0,381000000.0,373.0,39.0
executive-order-10006-preparation-presentation-filing-and-publicaton-executive-orders-and.json,qwen2.5,True,360076134.0,11313306.0,7000000.0,336000000.0,373.0,39.0
executive-order-10005-establishing-the-presidents-advisory-commission-the-relation-federal.json,qwen2.5,True,604937663.0,28384901.0,18000000.0,545000000.0,392.0,57.0
executive-order-10007-organization-the-reserve-units-the-armed-forces.json,qwen2.5,True,438888876.0,21496285.0,10000000.0,394000000.0,374.0,40.0
executive-order-10009-revoking-part-executive-orders-no-589-march-14-1907-and-no-1712.json,qwen2.5,True,434647183.0,28160474.0,10000000.0,383000000.0,374.0,40.0
executive-order-10010-creating-emergency-board-investigate-disputes-between-the-akron.json,qwen2.5,True,504444140.0,14443598.0,19000000.0,462000000.0,401.0,46.0
executive-order-10008-amending-the-selective-service-regulations.json,qwen2.5,True,841057746.0,11789106.0,10000000.0,813000000.0,428.0,93.0
executive-order-10011-authorizing-the-secretary-state-exercise-certain-powers-the.json,qwen2.5,True,429351806.0,23051091.0,10000000.0,382000000.0,374.0,40.0
executive-order-10013-establishing-the-presidents-committee-religious-and-moral-welfare.json,qwen2.5,True,374919637.0,11736777.0,8000000.0,349000000.0,374.0,40.0
executive-order-10012-excluding-from-the-provisions-the-classification-act-1923-amended.json,qwen2.5,True,439099637.0,28241999.0,9000000.0,395000000.0,374.0,40.0
executive-order-10014-directing-federal-agencies-cooperate-with-sate-and-local-authorities.json,qwen2.5,True,444942775.0,28033814.0,18000000.0,385000000.0,373.0,39.0
executive-order-10016-coat-arms-seal-and-flag-the-vice-president-the-united-states.json,qwen2.5,True,445304804.0,22274505.0,18000000.0,392000000.0,374.0,40.0
executive-order-10015-amendment-executive-order-no-10010-creating-emergency-board.json,qwen2.5,True,535728384.0,11088135.0,8000000.0,511000000.0,392.0,59.0
executive-order-10017-amendment-the-regulations-governing-the-appointment-postmasters-the.json,qwen2.5,True,424524489.0,28147399.0,8000000.0,381000000.0,374.0,40.0
executive-order-10019-excusing-federal-employees-from-duty-one-half-day-december-24-1948.json,qwen2.5,True,362537402.0,11426597.0,7000000.0,338000000.0,373.0,39.0
executive-order-10018-transferring-the-control-and-jurisdiction-over-certain-tracts-land.json,qwen2.5,True,440871766.0,28171936.0,8000000.0,391000000.0,374.0,40.0
executive-order-10020-prescribing-the-manual-for-courts-martial-us-army-1949.json,qwen2.5,True,413010020.0,20207245.0,8000000.0,371000000.0,373.0,39.0
executive-order-10021-further-exemption-harry-b-mitchell-from-compulsory-retirement-for.json,qwen2.5,True,363061856.0,12199077.0,8000000.0,337000000.0,374.0,40.0
executive-order-10022-transferring-the-use-possession-and-control-certain-lands-from-the.json,qwen2.5,True,439709226.0,28072507.0,8000000.0,391000000.0,374.0,40.0
executive-order-10024-restoration-lands-location-and-entry-under-the-mining-laws-the.json,qwen2.5,True,368822652.0,11070718.0,7000000.0,344000000.0,374.0,40.0
executive-order-10023-amendment-executive-order-9984-july-31-1948-prescribing-regulations.json,qwen2.5,True,618010144.0,28297234.0,20000000.0,556000000.0,394.0,58.0
executive-order-10026-korea.json,,,,,,,,
